date,iso_week,close,volume,close_point_relative_normalization,volume_point_relative_normalization
2016-01-01,2016-00,434.33,36278900,0,0
2016-01-02,2016-00,433.44,30096600,-0.002049133148,-0.1704103487
2016-01-03,2016-01,430.01,39633800,0,0
2016-01-04,2016-01,433.09,38477500,0.007162624125,-0.0291745934
2016-01-05,2016-01,431.96,34522600,0.004534778261,-0.1289606346
2016-01-06,2016-01,429.11,34042500,-0.002092974582,-0.1410740328
2016-01-07,2016-01,458.05,87562200,0.06520778587,1.209280967
2016-01-08,2016-01,453.23,56993000,0.05399874422,0.4379897966
2016-01-09,2016-01,447.61,32278000,0.04092928071,-0.1855941141
2016-01-10,2016-02,447.99,35995900,0,0
2016-01-11,2016-02,448.43,40450000,0.0009821647805,0.1237390925
2016-01-12,2016-02,435.69,115607000,-0.02745597,2.211671329
2016-01-13,2016-02,432.37,173888000,-0.03486684971,3.830772394
2016-01-14,2016-02,430.31,43945500,-0.03946516663,0.2208473743
2016-01-15,2016-02,364.33,153351000,-0.1867452398,3.260235193
2016-01-16,2016-02,387.54,120352000,-0.1349360477,2.343491898
2016-01-17,2016-03,382.3,45319600,0,0
2016-01-18,2016-03,387.17,54403900,0.0127386869,0.2004496951
2016-01-19,2016-03,380.15,46819800,-0.005623855611,0.03310267522
2016-01-20,2016-03,420.23,121720000,0.09921527596,1.685813644
2016-01-21,2016-03,410.26,68338000,0.07313628041,0.5079126912
2016-01-22,2016-03,382.49,91546600,0.0004969918912,1.020022242
2016-01-23,2016-03,387.49,56247400,0.01357572587,0.2411274592
2016-01-24,2016-04,402.97,54824800,0,0
2016-01-25,2016-04,391.73,59062400,-0.02789289525,0.07729348762
2016-01-26,2016-04,392.15,58147000,-0.02685063404,0.06059666428
2016-01-27,2016-04,394.97,47424400,-0.01985259449,-0.1349827086
2016-01-28,2016-04,380.29,59247900,-0.05628210537,0.08067699289
2016-01-29,2016-04,379.47,86125300,-0.0583169963,0.5709186354
